Gasto,Categorias,Fonte Pagamento,Data,Valor,Forma Pagamento
Doação,Outros,89.55,06/22/2025,Bradesco,Pix
Taxa bancária,Outros,100.24,07/15/2025,Nubank,Cartão
Padaria,Alimentação,244.19,09/02/2025,Nubank,Cartão
Consulta médica,Saúde,127.09,10/23/2025,Caixa,Pix
Consulta médica,Saúde,232.08,10/05/2025,Itaú,Cartão
Internet,Serviços,114.91,06/11/2025,Nubank,Dinheiro
Curso online,"Educação, Lazer",238.13,07/10/2025,Caixa,Pix
Show,Lazer,373.19,10/30/2025,Bradesco,Cartão
Show,Lazer,142.73,08/04/2025,Santander,Dinheiro
Aluguel,Moradia,89.79,07/16/2025,Santander,Cartão
Telefonia,Serviços,190.99,06/12/2025,Itaú,Dinheiro
Lavanderia,Serviços,132.08,10/21/2025,Santander,Cartão
Mensalidade,"Educação, Outros",491.36,06/12/2025,Santander,Cartão
Remédio,Saúde,271.08,08/25/2025,Itaú,Pix
Conta de luz,Moradia,94.43,09/16/2025,Santander,Dinheiro
Show,Lazer,138.82,05/14/2025,Caixa,Cartão
Remédio,"Saúde, Alimentação",144.92,08/12/2025,Itaú,Dinheiro
Almoço restaurante,Alimentação,218.98,10/23/2025,Itaú,Pix
Curso online,Educação,183.68,07/09/2025,Itaú,Pix
Doação,Outros,162.86,10/25/2025,Itaú,Cartão
Exame laboratorial,Saúde,112.88,09/01/2025,Caixa,Cartão
Lavanderia,Serviços,326.81,06/30/2025,Caixa,Pix
Passagem de ônibus,Transporte,204.72,05/23/2025,Itaú,Pix
Mensalidade,Educação,441.75,10/30/2025,Nubank,Pix
Combustível,Transporte,22.03,07/07/2025,Bradesco,Pix
Lavanderia,Serviços,65.59,07/10/2025,Itaú,Cartão
Táxi até o aeroporto,Transporte,204.39,09/20/2025,Caixa,Cartão
Show,Lazer,213.53,09/24/2025,Santander,Pix
Compra no mercado,Alimentação,97.7,06/26/2025,Santander,Pix
Show,"Lazer, Transporte",80.44,08/28/2025,Nubank,Dinheiro
Doação,Outros,71.44,07/26/2025,Caixa,Pix
Remédio,Saúde,84.89,07/30/2025,Caixa,Pix
Passagem de ônibus,Transporte,57.32,06/07/2025,Caixa,Dinheiro
Consulta médica,Saúde,198.2,09/12/2025,Bradesco,Pix
Telefonia,Serviços,193.53,08/15/2025,Santander,Dinheiro
Compra de livro,Educação,109.84,06/14/2025,Bradesco,Pix
Passagem de ônibus,Transporte,146.27,07/13/2025,Nubank,Pix
Jantar com amigos,Lazer,107.21,06/26/2025,Itaú,Pix
Conta de luz,Moradia,96.99,07/10/2025,Santander,Pix
Aluguel,Moradia,38.61,06/27/2025,Itaú,Pix
Consulta médica,Saúde,140.8,05/15/2025,Santander,Dinheiro
Corrida Uber,Transporte,103.48,07/12/2025,Caixa,Pix
Passagem de ônibus,Transporte,104.37,09/08/2025,Itaú,Pix
Curso online,Educação,19.66,08/08/2025,Nubank,Dinheiro
Jantar com amigos,"Lazer, Alimentação",132.57,09/20/2025,Santander,Pix
Assinatura streaming,"Lazer, Serviços",75.1,07/01/2025,Itaú,Cartão
Táxi até o aeroporto,Transporte,118.67,10/21/2025,Santander,Cartão
Padaria,Alimentação,315.83,05/17/2025,Bradesco,Cartão
Aluguel,Moradia,153.54,08/31/2025,Santander,Cartão
Taxa bancária,Outros,170.84,09/18/2025,Bradesco,Dinheiro
Compra de livro,Educação,138.53,07/08/2025,Nubank,Cartão
Conta de luz,Moradia,102.5,11/06/2025,Caixa,Pix
Condomínio,Moradia,225.03,06/01/2025,Santander,Cartão
Assinatura streaming,Lazer,99.02,05/27/2025,Itaú,Cartão
Internet,Serviços,170.46,10/18/2025,Nubank,Cartão
Lanchonete,Alimentação,223.72,07/19/2025,Santander,Pix
Lanchonete,Alimentação,156.2,09/07/2025,Santander,Cartão
Padaria,Alimentação,363.52,07/13/2025,Nubank,Dinheiro
Multa,"Outros, Alimentação",138.31,06/08/2025,Nubank,Dinheiro
Mensalidade,Educação,233.44,07/05/2025,Bradesco,Dinheiro
Almoço restaurante,Alimentação,152.96,09/26/2025,Caixa,Cartão
Consulta médica,"Saúde, Moradia",116.34,08/06/2025,Itaú,Dinheiro
Almoço restaurante,Alimentação,181.85,05/14/2025,Itaú,Dinheiro
Jantar com amigos,Lazer,27.29,09/27/2025,Caixa,Dinheiro
Consulta médica,Saúde,161.16,09/26/2025,Nubank,Dinheiro
Aluguel,"Moradia, Transporte",332.51,05/13/2025,Santander,Cartão
Internet,Serviços,376.43,07/01/2025,Bradesco,Cartão
Telefonia,"Serviços, Moradia",180.54,08/23/2025,Itaú,Dinheiro
Curso online,Educação,76.32,09/05/2025,Nubank,Dinheiro
Taxa bancária,Outros,219.23,08/20/2025,Bradesco,Dinheiro
Almoço restaurante,Alimentação,380.09,10/11/2025,Nubank,Pix
Condomínio,"Moradia, Saúde",267.13,07/05/2025,Itaú,Pix
Doação,Outros,26.46,08/02/2025,Bradesco,Pix
Jantar com amigos,Lazer,119.22,08/04/2025,Santander,Dinheiro
Corrida Uber,Transporte,233.5,07/28/2025,Bradesco,Cartão
Show,Lazer,85.37,05/12/2025,Bradesco,Pix
Curso online,"Educação, Transporte",71.49,09/05/2025,Nubank,Cartão
Multa,Outros,114.96,07/27/2025,Bradesco,Pix
Multa,Outros,118.74,09/30/2025,Bradesco,Cartão
Cinema,Lazer,143.11,10/31/2025,Bradesco,Pix
Lanchonete,Alimentação,138.84,08/31/2025,Nubank,Cartão
Lanchonete,Alimentação,186.79,07/31/2025,Caixa,Dinheiro
Padaria,Alimentação,150.02,05/21/2025,Bradesco,Cartão
Taxa bancária,Outros,141.7,05/14/2025,Caixa,Dinheiro
Taxa bancária,Outros,182.18,05/17/2025,Bradesco,Cartão
Doação,Outros,189.15,11/04/2025,Santander,Pix
Conta de luz,Moradia,204.55,07/13/2025,Nubank,Pix
Compra no mercado,Alimentação,119.62,05/21/2025,Caixa,Pix
Táxi até o aeroporto,Transporte,167.17,05/16/2025,Nubank,Pix
Multa,Outros,203.71,10/31/2025,Caixa,Dinheiro
Táxi até o aeroporto,Transporte,109.41,09/16/2025,Nubank,Dinheiro
Show,Lazer,112.91,06/24/2025,Santander,Cartão
Táxi até o aeroporto,Transporte,213.41,05/31/2025,Caixa,Dinheiro
Mensalidade,Educação,105.19,05/16/2025,Itaú,Dinheiro
Conta de luz,Moradia,20.95,10/29/2025,Santander,Pix
Compra no mercado,Alimentação,222.58,09/23/2025,Itaú,Cartão
Remédio,Saúde,126.82,09/05/2025,Nubank,Pix
Show,Lazer,71.72,07/08/2025,Bradesco,Cartão
Jantar com amigos,Lazer,68.9,08/27/2025,Caixa,Pix
Compra de livro,Educação,233.03,06/27/2025,Bradesco,Dinheiro
Mensalidade,"Educação, Serviços",95.67,10/02/2025,Bradesco,Dinheiro
Mensalidade,Educação,109.21,09/18/2025,Itaú,Pix
Multa,"Outros, Saúde",146.07,08/30/2025,Caixa,Cartão
Assinatura streaming,Lazer,290.8,05/29/2025,Nubank,Cartão
Lanchonete,Alimentação,93.63,05/12/2025,Itaú,Pix
Condomínio,Moradia,282.34,11/05/2025,Caixa,Pix
Padaria,Alimentação,188.76,07/11/2025,Santander,Dinheiro
Cinema,Lazer,248.96,06/24/2025,Bradesco,Cartão
Consulta médica,Saúde,140.19,05/19/2025,Bradesco,Cartão
Internet,Serviços,43.45,06/13/2025,Santander,Dinheiro
Jantar com amigos,"Lazer, Alimentação",22.13,10/01/2025,Santander,Cartão
Remédio,Saúde,183.48,08/10/2025,Bradesco,Dinheiro
Mensalidade,"Educação, Lazer",83.16,10/26/2025,Nubank,Dinheiro
Condomínio,Moradia,269.13,10/18/2025,Itaú,Dinheiro
Compra de livro,Educação,82.46,08/05/2025,Bradesco,Dinheiro
Conta de luz,Moradia,144.79,08/01/2025,Bradesco,Cartão
Consulta médica,Saúde,142.91,09/11/2025,Santander,Dinheiro
Multa,Outros,182.76,09/19/2025,Itaú,Dinheiro
Assinatura streaming,Lazer,22.92,06/23/2025,Nubank,Cartão
Exame laboratorial,Saúde,324.98,08/09/2025,Itaú,Cartão
Passagem de ônibus,Transporte,51.07,11/01/2025,Nubank,Cartão
Show,Lazer,12.22,06/30/2025,Nubank,Dinheiro
Aluguel,Moradia,90.71,09/18/2025,Santander,Dinheiro
Exame laboratorial,Saúde,117.82,07/19/2025,Nubank,Cartão
Aluguel,Moradia,155.8,06/30/2025,Nubank,Pix
Jantar com amigos,"Lazer, Transporte",208.02,10/29/2025,Itaú,Cartão
Jantar com amigos,Lazer,161.33,08/15/2025,Itaú,Cartão
Multa,Outros,56.49,06/08/2025,Bradesco,Dinheiro
Conta de luz,Moradia,36.35,06/25/2025,Caixa,Dinheiro
Compra no mercado,"Alimentação, Transporte",229.25,08/26/2025,Caixa,Cartão
Exame laboratorial,Saúde,205.91,06/12/2025,Santander,Cartão
Mensalidade,Educação,111.99,08/26/2025,Santander,Cartão
Combustível,Transporte,399.62,07/18/2025,Bradesco,Dinheiro
Aluguel,Moradia,144.83,07/07/2025,Nubank,Dinheiro
Compra no mercado,Alimentação,302.67,05/23/2025,Bradesco,Dinheiro
Lavanderia,Serviços,131.85,06/19/2025,Santander,Cartão
Consulta médica,Saúde,216.53,09/07/2025,Bradesco,Pix
Telefonia,Serviços,177.46,08/25/2025,Itaú,Pix
Mensalidade,Educação,157.82,07/29/2025,Caixa,Cartão
Corrida Uber,Transporte,116.29,09/07/2025,Bradesco,Dinheiro
Combustível,Transporte,284.73,09/21/2025,Itaú,Cartão
Exame laboratorial,Saúde,203.78,10/24/2025,Caixa,Pix
Lavanderia,Serviços,144.62,07/10/2025,Caixa,Dinheiro
Padaria,Alimentação,50.34,05/10/2025,Santander,Dinheiro
Compra de livro,Educação,202.31,07/23/2025,Nubank,Pix
Exame laboratorial,Saúde,108.73,07/18/2025,Bradesco,Pix
Lanchonete,Alimentação,63.38,10/03/2025,Santander,Dinheiro
Lavanderia,Serviços,59.82,10/01/2025,Santander,Dinheiro
Telefonia,Serviços,210.39,08/26/2025,Caixa,Dinheiro
Exame laboratorial,"Saúde, Lazer",102.79,06/11/2025,Caixa,Cartão
Exame laboratorial,"Saúde, Lazer",218.04,07/07/2025,Santander,Cartão
Curso online,Educação,88.79,07/22/2025,Caixa,Dinheiro
Assinatura streaming,Lazer,190.86,09/25/2025,Itaú,Dinheiro
Taxa bancária,Outros,117.74,08/12/2025,Nubank,Dinheiro
Aluguel,Moradia,199.21,09/06/2025,Caixa,Dinheiro
Internet,Serviços,329.62,07/05/2025,Nubank,Pix
Show,Lazer,183.37,10/18/2025,Itaú,Cartão
Mensalidade,Educação,199.85,10/12/2025,Santander,Pix
Lanchonete,Alimentação,126.06,10/04/2025,Itaú,Cartão
Conta de luz,Moradia,225.4,09/09/2025,Itaú,Dinheiro
Compra de livro,Educação,61.92,08/19/2025,Nubank,Pix
Remédio,"Saúde, Transporte",429.93,05/11/2025,Itaú,Dinheiro
Padaria,Alimentação,144.95,08/31/2025,Caixa,Dinheiro
Mensalidade,Educação,120.38,07/07/2025,Bradesco,Pix
Compra de livro,"Educação, Serviços",149.77,05/23/2025,Nubank,Cartão
Mensalidade,"Educação, Lazer",246.88,07/27/2025,Itaú,Pix
Lanchonete,"Alimentação, Serviços",81.66,09/06/2025,Bradesco,Dinheiro
Táxi até o aeroporto,Transporte,179.12,06/29/2025,Bradesco,Pix
Show,Lazer,126.85,11/02/2025,Santander,Cartão
Padaria,Alimentação,144.98,07/26/2025,Bradesco,Dinheiro
Curso online,Educação,110.98,10/07/2025,Nubank,Pix
Taxa bancária,Outros,149.43,09/04/2025,Santander,Cartão
Combustível,"Transporte, Outros",152.09,10/20/2025,Itaú,Cartão
Cinema,Lazer,146.16,10/19/2025,Caixa,Pix
Conta de luz,Moradia,150.13,08/05/2025,Itaú,Dinheiro
Assinatura streaming,Lazer,212.73,06/27/2025,Itaú,Cartão
Combustível,Transporte,107.42,10/22/2025,Bradesco,Pix
Combustível,Transporte,202.71,05/24/2025,Itaú,Cartão
Condomínio,"Moradia, Lazer",281.39,05/11/2025,Bradesco,Cartão
Doação,Outros,121.05,10/07/2025,Caixa,Dinheiro
Conta de luz,Moradia,203.35,06/19/2025,Bradesco,Cartão
Passagem de ônibus,Transporte,138.35,07/27/2025,Caixa,Cartão
Internet,Serviços,353.4,09/24/2025,Bradesco,Pix
Cinema,Lazer,67.13,09/07/2025,Santander,Pix
Exame laboratorial,Saúde,167.98,08/02/2025,Bradesco,Cartão
Almoço restaurante,Alimentação,366.27,09/28/2025,Bradesco,Pix
Condomínio,Moradia,182.02,05/18/2025,Bradesco,Cartão
Combustível,Transporte,61.32,10/25/2025,Itaú,Cartão
Remédio,Saúde,178.64,07/15/2025,Santander,Cartão
Compra de livro,Educação,158.98,09/23/2025,Nubank,Dinheiro
Assinatura streaming,Lazer,120.98,07/21/2025,Itaú,Dinheiro
Cinema,Lazer,48.9,06/20/2025,Itaú,Dinheiro
Padaria,"Alimentação, Educação",204.83,10/29/2025,Santander,Pix
Show,Lazer,116.97,10/12/2025,Bradesco,Pix
Exame laboratorial,Saúde,130.28,10/15/2025,Caixa,Cartão
Internet,"Serviços, Outros",61.8,09/13/2025,Caixa,Pix
Compra de livro,"Educação, Serviços",34.11,06/15/2025,Bradesco,Dinheiro
Conta de luz,Moradia,93.38,08/20/2025,Nubank,Dinheiro
Compra de livro,Educação,54.05,05/19/2025,Bradesco,Pix
Remédio,"Saúde, Lazer",83.08,10/18/2025,Nubank,Pix
Lanchonete,Alimentação,105.81,06/09/2025,Itaú,Cartão
Mensalidade,"Educação, Moradia",329.34,06/14/2025,Santander,Dinheiro
Exame laboratorial,Saúde,136.59,08/16/2025,Bradesco,Dinheiro
Assinatura streaming,"Lazer, Alimentação",263.03,08/19/2025,Santander,Dinheiro
Compra de livro,"Educação, Outros",94.49,10/20/2025,Nubank,Dinheiro
Curso online,Educação,175.73,10/18/2025,Nubank,Dinheiro
Remédio,"Saúde, Transporte",269.26,08/19/2025,Caixa,Cartão
Lavanderia,Serviços,408.92,09/20/2025,Itaú,Dinheiro
Consulta médica,Saúde,327.16,06/06/2025,Itaú,Dinheiro
Combustível,Transporte,135.7,09/18/2025,Itaú,Cartão
Táxi até o aeroporto,Transporte,186.67,09/12/2025,Santander,Pix
Assinatura streaming,Lazer,139.18,10/20/2025,Caixa,Pix
Passagem de ônibus,"Transporte, Educação",197.45,08/04/2025,Nubank,Dinheiro
Compra de livro,Educação,257.35,08/18/2025,Nubank,Dinheiro
Passagem de ônibus,Transporte,82.51,10/15/2025,Santander,Dinheiro
Padaria,"Alimentação, Educação",169.37,07/26/2025,Santander,Cartão
Corrida Uber,Transporte,164.78,11/03/2025,Caixa,Pix
