Data,Valor,Categorias,Forma Pagamento,fonte_pagamento
2025-05-17,354.12,Outros,Cartão,Bradesco
2025-11-04,738.91,Outros,Pix,Santander
2025-07-13,325.53,Moradia,Pix,Nubank
2025-05-21,345.32,Alimentação,Pix,Caixa
2025-05-16,694.42,Transporte,Pix,Nubank
2025-10-31,1380.26,Outros,Dinheiro,Caixa
2025-09-16,263.72,Transporte,Dinheiro,Nubank
2025-06-24,996.57,Lazer,Cartão,Santander
2025-05-31,1179.64,Transporte,Dinheiro,Caixa
2025-05-16,743.65,Educação,Dinheiro,Itaú
2025-10-29,489.65,Moradia,Pix,Santander
2025-09-23,404.51,Alimentação,Cartão,Itaú
2025-09-05,983.3,Saúde,Pix,Nubank
2025-07-08,1230.72,Lazer,Cartão,Bradesco
2025-08-27,514.39,Lazer,Pix,Caixa
2025-06-27,1338.34,Educação,Dinheiro,Bradesco
2025-10-02,782.25,Educação,Dinheiro,Bradesco
2025-09-18,959.6,Educação,Pix,Itaú
2025-08-30,1210.55,Outros,Cartão,Caixa
2025-05-29,1434.04,Lazer,Cartão,Nubank
2025-05-12,1308.97,Alimentação,Pix,Itaú
2025-11-05,1362.88,Moradia,Pix,Caixa
2025-07-11,587.99,Alimentação,Dinheiro,Santander
2025-06-24,639.4,Lazer,Cartão,Bradesco
2025-05-19,470.51,Saúde,Cartão,Bradesco
2025-06-13,497.23,Serviços,Dinheiro,Santander
2025-10-01,326.58,Lazer,Cartão,Santander
2025-08-10,596.97,Saúde,Dinheiro,Bradesco
2025-10-26,1461.41,Educação,Dinheiro,Nubank
2025-10-18,1086.59,Moradia,Dinheiro,Itaú
2025-08-05,1002.12,Educação,Dinheiro,Bradesco
2025-08-01,847.46,Moradia,Cartão,Bradesco
2025-09-11,1005.92,Saúde,Dinheiro,Santander
2025-09-19,632.16,Outros,Dinheiro,Itaú
2025-06-23,1288.25,Lazer,Cartão,Nubank
2025-08-09,428.64,Saúde,Cartão,Itaú
2025-11-01,358.08,Transporte,Cartão,Nubank
2025-06-30,524.04,Lazer,Dinheiro,Nubank
2025-09-18,974.72,Moradia,Dinheiro,Santander
2025-07-19,793.89,Saúde,Cartão,Nubank
2025-06-30,1267.27,Moradia,Pix,Nubank
2025-10-29,154.3,Lazer,Cartão,Itaú
2025-08-15,749.31,Lazer,Cartão,Itaú
2025-06-08,1480.16,Outros,Dinheiro,Bradesco
2025-06-25,505.0,Moradia,Dinheiro,Caixa
2025-08-26,442.52,Alimentação,Cartão,Caixa
2025-06-12,442.75,Saúde,Cartão,Santander
2025-08-26,1122.56,Educação,Cartão,Santander
2025-07-18,930.45,Transporte,Dinheiro,Bradesco
2025-07-07,89.72,Moradia,Dinheiro,Nubank
2025-05-23,842.14,Alimentação,Dinheiro,Bradesco
2025-06-19,708.46,Serviços,Cartão,Santander
2025-09-07,1185.6,Saúde,Pix,Bradesco
2025-08-25,559.48,Serviços,Pix,Itaú
2025-07-29,398.85,Educação,Cartão,Caixa
2025-09-07,598.99,Transporte,Dinheiro,Bradesco
2025-09-21,1090.66,Transporte,Cartão,Itaú
2025-10-24,246.13,Saúde,Pix,Caixa
2025-07-10,1352.84,Serviços,Dinheiro,Caixa
2025-05-10,129.11,Alimentação,Dinheiro,Santander
2025-07-23,588.75,Educação,Pix,Nubank
2025-07-18,1060.88,Saúde,Pix,Bradesco
2025-10-03,1299.79,Alimentação,Dinheiro,Santander
2025-10-01,1438.97,Serviços,Dinheiro,Santander
2025-08-26,1134.98,Serviços,Dinheiro,Caixa
2025-06-11,293.83,Saúde,Cartão,Caixa
2025-07-07,350.97,Saúde,Cartão,Santander
2025-07-22,185.22,Educação,Dinheiro,Caixa
2025-09-25,770.65,Lazer,Dinheiro,Itaú
2025-08-12,564.94,Outros,Dinheiro,Nubank
2025-09-06,784.39,Moradia,Dinheiro,Caixa
2025-07-05,1225.8,Serviços,Pix,Nubank
2025-10-18,484.78,Lazer,Cartão,Itaú
2025-10-12,845.66,Educação,Pix,Santander
2025-10-04,388.62,Alimentação,Cartão,Itaú
2025-09-09,1074.05,Moradia,Dinheiro,Itaú
2025-08-19,1334.23,Educação,Pix,Nubank
2025-05-11,639.48,Saúde,Dinheiro,Itaú
2025-08-31,1163.68,Alimentação,Dinheiro,Caixa
2025-07-07,456.46,Educação,Pix,Bradesco
2025-05-23,588.83,Educação,Cartão,Nubank
2025-07-27,1342.11,Educação,Pix,Itaú
2025-09-06,1477.98,Alimentação,Dinheiro,Bradesco
2025-06-29,1061.13,Transporte,Pix,Bradesco
2025-11-02,1185.82,Lazer,Cartão,Santander
2025-07-26,1066.46,Alimentação,Dinheiro,Bradesco
2025-10-07,76.59,Educação,Pix,Nubank
2025-09-04,1462.57,Outros,Cartão,Santander
2025-10-20,862.85,Transporte,Cartão,Itaú
2025-10-19,115.97,Lazer,Pix,Caixa
2025-08-05,296.11,Moradia,Dinheiro,Itaú
2025-06-27,1333.2,Lazer,Cartão,Itaú
2025-10-22,977.09,Transporte,Pix,Bradesco
2025-05-24,535.17,Transporte,Cartão,Itaú
2025-05-11,681.86,Moradia,Cartão,Bradesco
2025-10-07,1107.02,Outros,Dinheiro,Caixa
2025-06-19,785.41,Moradia,Cartão,Bradesco
2025-07-27,805.31,Transporte,Cartão,Caixa
2025-09-24,267.89,Serviços,Pix,Bradesco
2025-09-07,1266.75,Lazer,Pix,Santander
2025-08-02,41.77,Saúde,Cartão,Bradesco
2025-09-28,36.36,Alimentação,Pix,Bradesco
2025-05-18,969.52,Moradia,Cartão,Bradesco
2025-10-25,341.25,Transporte,Cartão,Itaú
2025-07-15,278.5,Saúde,Cartão,Santander
2025-09-23,1244.62,Educação,Dinheiro,Nubank
2025-07-21,818.53,Lazer,Dinheiro,Itaú
2025-06-20,536.57,Lazer,Dinheiro,Itaú
2025-10-29,455.99,Alimentação,Pix,Santander
2025-10-12,856.37,Lazer,Pix,Bradesco
2025-10-15,24.14,Saúde,Cartão,Caixa
2025-09-13,686.3,Serviços,Pix,Caixa
2025-06-15,210.31,Educação,Dinheiro,Bradesco
2025-08-20,878.22,Moradia,Dinheiro,Nubank
2025-05-19,921.05,Educação,Pix,Bradesco
2025-10-18,687.33,Saúde,Pix,Nubank
2025-06-09,27.11,Alimentação,Cartão,Itaú
2025-06-14,63.19,Educação,Dinheiro,Santander
2025-08-16,32.48,Saúde,Dinheiro,Bradesco
2025-08-19,1354.91,Lazer,Dinheiro,Santander
2025-10-20,1073.61,Educação,Dinheiro,Nubank
2025-10-18,417.17,Educação,Dinheiro,Nubank
2025-08-19,60.16,Saúde,Cartão,Caixa
2025-09-20,1222.39,Serviços,Dinheiro,Itaú
2025-06-06,789.32,Saúde,Dinheiro,Itaú
2025-09-18,902.26,Transporte,Cartão,Itaú
2025-09-12,723.99,Transporte,Pix,Santander
2025-10-20,1180.71,Lazer,Pix,Caixa
2025-08-04,1449.69,Transporte,Dinheiro,Nubank
2025-08-18,886.53,Educação,Dinheiro,Nubank
2025-10-15,1102.93,Transporte,Dinheiro,Santander
2025-07-26,1272.4,Alimentação,Cartão,Santander
2025-11-03,1459.81,Transporte,Pix,Caixa
2025-06-18,1227.13,Saúde,Pix,Bradesco
2025-09-25,1168.17,Serviços,Cartão,Santander
2025-08-22,1084.73,Transporte,Pix,Itaú
2025-06-14,208.51,Educação,Cartão,Nubank
2025-11-02,91.45,Outros,Pix,Santander
2025-06-15,1138.23,Alimentação,Cartão,Santander
2025-10-09,327.23,Lazer,Cartão,Nubank
2025-06-20,252.57,Outros,Dinheiro,Nubank
2025-10-25,618.91,Alimentação,Cartão,Caixa
2025-06-04,511.79,Moradia,Dinheiro,Bradesco
2025-10-12,406.77,Alimentação,Cartão,Santander
2025-08-11,884.24,Educação,Pix,Caixa
2025-07-05,669.19,Lazer,Cartão,Nubank
2025-05-16,1328.1,Alimentação,Cartão,Itaú
2025-06-28,543.32,Alimentação,Cartão,Bradesco
2025-08-06,1249.58,Educação,Dinheiro,Nubank
2025-09-09,917.15,Transporte,Dinheiro,Nubank
2025-10-03,1329.07,Transporte,Cartão,Santander
2025-05-21,78.57,Transporte,Pix,Itaú
2025-10-22,235.0,Transporte,Pix,Bradesco
2025-09-18,867.52,Alimentação,Pix,Santander
2025-09-18,445.04,Alimentação,Cartão,Itaú
2025-11-06,397.99,Educação,Dinheiro,Itaú
2025-07-01,1091.87,Educação,Cartão,Nubank
2025-08-05,849.7,Educação,Dinheiro,Itaú
2025-08-14,627.53,Moradia,Cartão,Nubank
2025-10-29,661.48,Moradia,Cartão,Caixa
2025-06-26,1484.43,Serviços,Cartão,Nubank
2025-07-13,1347.03,Moradia,Cartão,Itaú
2025-06-02,374.97,Saúde,Dinheiro,Caixa
2025-10-20,1223.08,Moradia,Dinheiro,Caixa
2025-11-04,1006.97,Serviços,Dinheiro,Nubank
2025-09-21,204.13,Moradia,Dinheiro,Santander
2025-05-10,849.24,Saúde,Pix,Itaú
2025-10-25,87.08,Outros,Pix,Santander
2025-05-16,555.65,Alimentação,Dinheiro,Bradesco
2025-11-03,1342.31,Serviços,Dinheiro,Bradesco
2025-09-02,591.59,Alimentação,Pix,Nubank
2025-09-08,519.03,Lazer,Pix,Nubank
2025-09-16,1498.94,Transporte,Cartão,Itaú
2025-06-12,1020.54,Moradia,Dinheiro,Bradesco
2025-08-17,74.52,Saúde,Pix,Caixa
2025-10-26,612.25,Alimentação,Cartão,Bradesco
2025-08-04,488.3,Serviços,Pix,Santander
2025-08-26,516.16,Outros,Cartão,Caixa
2025-05-23,155.53,Transporte,Dinheiro,Bradesco
2025-05-29,916.79,Serviços,Cartão,Bradesco
2025-07-04,1203.41,Alimentação,Pix,Nubank
2025-08-14,1450.78,Outros,Pix,Santander
2025-11-04,121.92,Transporte,Pix,Caixa
2025-08-04,721.84,Alimentação,Dinheiro,Santander
2025-07-17,1276.35,Saúde,Dinheiro,Itaú
2025-09-22,514.51,Serviços,Pix,Itaú
2025-10-29,1049.88,Serviços,Dinheiro,Itaú
2025-10-18,1426.11,Serviços,Pix,Itaú
2025-06-07,722.28,Lazer,Pix,Bradesco
2025-09-27,979.46,Serviços,Cartão,Nubank
2025-07-05,550.63,Educação,Pix,Bradesco
2025-10-22,1094.29,Serviços,Pix,Nubank
2025-06-15,1269.26,Saúde,Cartão,Bradesco
2025-09-30,202.41,Lazer,Dinheiro,Bradesco
2025-09-22,899.44,Outros,Pix,Nubank
2025-08-14,56.54,Alimentação,Dinheiro,Caixa
2025-10-29,865.15,Moradia,Cartão,Nubank
2025-08-01,956.01,Moradia,Dinheiro,Nubank
2025-07-04,165.23,Alimentação,Dinheiro,Bradesco
2025-09-06,641.37,Outros,Dinheiro,Caixa
2025-07-17,1443.06,Alimentação,Dinheiro,Santander
2025-07-23,351.62,Alimentação,Pix,Bradesco
2025-10-07,1034.21,Transporte,Dinheiro,Santander
2025-08-29,1467.39,Transporte,Pix,Bradesco
2025-07-31,429.9,Alimentação,Pix,Santander
2025-08-28,17.24,Moradia,Dinheiro,Santander
2025-08-24,905.86,Moradia,Dinheiro,Caixa
2025-05-20,392.23,Alimentação,Pix,Itaú
2025-06-18,838.61,Outros,Cartão,Santander
2025-08-11,706.81,Lazer,Pix,Caixa
2025-06-13,1499.89,Moradia,Dinheiro,Bradesco
2025-09-16,957.58,Educação,Pix,Caixa
2025-09-26,193.45,Alimentação,Pix,Bradesco
2025-10-12,1167.92,Saúde,Cartão,Caixa
2025-05-14,937.39,Outros,Cartão,Santander
2025-06-12,591.3,Transporte,Cartão,Caixa
2025-07-28,846.31,Transporte,Pix,Nubank
2025-08-15,303.27,Alimentação,Cartão,Nubank
2025-10-28,40.23,Outros,Pix,Bradesco
2025-07-08,384.81,Alimentação,Cartão,Itaú
2025-06-08,1365.64,Educação,Dinheiro,Caixa
2025-06-17,1127.37,Transporte,Dinheiro,Bradesco
